photo_id,sol,camera_id,camera_name,camera_full_name,img_src,earth_date,rover_id,rover_name,rover_landing_date,rover_launch_date,rover_status
1269594,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLG_1286_0781113388_929ECM_N0601874NCAM00525_00_2I4J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269595,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLG_1286_0781113393_409ECM_N0601874NCAM00525_00_2I4J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269596,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLG_1286_0781113418_409ECM_N0601874NCAM00525_00_2I4J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269600,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781113177_035ECM_N0601874NCAM02286_04_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269601,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781113177_035ECM_N0601874NCAM02286_10_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269606,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781112977_659ECM_N0601874NCAM02286_01_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269607,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781113177_035ECM_N0601874NCAM02286_07_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269614,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781112977_659ECM_N0601874NCAM02286_04_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269615,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781112977_659ECM_N0601874NCAM02286_07_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269616,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781112977_659ECM_N0601874NCAM02286_10_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
